file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
lib\calculations\quoteEngineCalculations.js,quoteEngineCalculations.js,lib,72,total_business_overheads,snake_case,snake_case_reference,output_contract_field,general-overheads,const total_business_overheads = toNumber( cost_summary_output_contract.total_business_overheads );
hooks\useCostSummary.js,useCostSummary.js,hooks,30,total_general_overheads,snake_case,snake_case_reference,output_contract_field,general-overheads,const total_general_overheads_before_asset_assignment = Number( general_overheads_output_contract.total_general_overheads ?? 0 );
hooks\useCostSummary.js,useCostSummary.js,hooks,57,total_general_overheads,snake_case,object_key,object_field,general-overheads,"const general_overhead_data = { total_general_overheads: total_general_overheads_after_asset_assignment,"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,666,total_general_overheads,snake_case,object_key,output_contract_field,general-overheads,"output_contract, total_general_overheads: calculated.total_general_overheads, overhead_rows: calculated.overhead_rows,"
lib\reconciliation\reconciliationRules.js,reconciliationRules.js,lib,239,total_general_overheads,snake_case,declaration,output_contract_field,general-overheads,"const total_general_overheads = toNumber( general_overheads_output_contract.total_general_overheads,"
lib\reconciliation\reconciliationRules.js,reconciliationRules.js,lib,240,total_general_overheads,snake_case,snake_case_reference,output_contract_field,general-overheads,"const total_general_overheads = toNumber( general_overheads_output_contract.total_general_overheads, );"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,145,travel,plain,quoted_object_key,object_field,general-overheads,"return ""sales_growth""; case ""travel"": return ""travel"";"
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,41,travel_cost,snake_case,object_key,object_field,general-overheads,"insurance_compliance_cost: 0, travel_cost: 0,"
components\general-overheads\GeneralOverheadReclassificationGroup.jsx,GeneralOverheadReclassificationGroup.jsx,components,16,unallocated,plain,object_key,object_field,general-overheads,"const label_map = { unallocated: ""Unallocated"", partially_allocated: ""Partially assigned"","
components\general-overheads\GeneralOverheadSummaryCard.jsx,GeneralOverheadSummaryCard.jsx,components,56,unallocated,plain,object_key,object_field,general-overheads,"const labels = { unallocated: ""Unallocated"", partially_allocated: ""Partially allocated"","
lib\selectors\general-overheads\generalOverheadAllocationSelectors.js,generalOverheadAllocationSelectors.js,lib,101,unallocated_needs_review,snake_case,warning_id,warning_id,general-overheads,"return row.key === ""insurance_compliance_cost"" ? ""unallocated_needs_review"" : ""business_overhead"";"
lib\selectors\general-overheads\generalOverheadAllocationSelectors.js,generalOverheadAllocationSelectors.js,lib,106,unallocated_needs_review,snake_case,warning_id,warning_id,general-overheads,"if (category_key === ""vehicles_running"") { return ""unallocated_needs_review""; }"
lib\selectors\general-overheads\generalOverheadAllocationSelectors.js,generalOverheadAllocationSelectors.js,lib,134,unallocated_needs_review,snake_case,warning_id,warning_id,general-overheads,"if (row.is_custom || category_key === ""other_unallocated"") { return ""unallocated_needs_review""; }"
lib\selectors\general-overheads\generalOverheadAllocationSelectors.js,generalOverheadAllocationSelectors.js,lib,461,unallocated_needs_review,snake_case,warning_id,warning_id,general-overheads,"!is_balanced_parent && system_allocation_type !== ""unallocated_needs_review"" && to_number(input_amount) > 0;"
lib\selectors\general-overheads\generalOverheadAllocationSelectors.js,generalOverheadAllocationSelectors.js,lib,483,unallocated_needs_review,snake_case,warning_id,warning_id,general-overheads,"SYSTEM_ALLOCATION_LABELS[system_allocation_type] || SYSTEM_ALLOCATION_LABELS.unallocated_needs_review, is_asset_related_pool,"
lib\selectors\general-overheads\generalOverheadDefinitions.js,generalOverheadDefinitions.js,lib,187,unallocated_needs_review,snake_case,warning_id,warning_id,general-overheads,"{ key: ""sales_overhead"", label: ""Sales overhead"" }, { key: ""unallocated_needs_review"", label: ""Unallocated / needs review"" }, ];"
lib\selectors\general-overheads\generalOverheadPoolSelectors.js,generalOverheadPoolSelectors.js,lib,77,unallocated_needs_review,snake_case,warning_id,warning_id,general-overheads,"(row) => row.system_allocation_type === ""unallocated_needs_review"" && to_number(row.amount) !== 0 &&"
lib\selectors\general-overheads\generalOverheadWarnings.js,generalOverheadWarnings.js,lib,8,unallocated_needs_review,snake_case,warning_id,warning_id,general-overheads,"if ( row.system_allocation_type === ""unallocated_needs_review"" && to_number(row.amount) !== 0 &&"
