variable_name,occurrence_count,file_count,source_areas,extraction_types,likely_roles,module_hints,files,review_reason
selected_model_name,10,4,app | components | hooks | lib,declaration | object_key | snake_case_reference,mentioned | object_field | selector,business-modelling,app\business-modelling\page.jsx | components\business-modelling\BusinessModellingStatusStrip.jsx | hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js,appears_in_multiple_files | appears_with_multiple_roles
start_new_profile,10,4,components | hooks,function | snake_case_reference,mentioned,labour,components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourSummaryCard.jsx | components\labour\SavedProfilesCard.jsx | hooks\useLabour.js,appears_in_multiple_files
supplied_material_cost,10,4,components | lib,declaration | object_key | snake_case_reference,calculation | mentioned | object_field | selector,unknown,components\materials\MaterialsMainCard.jsx | lib\calculations\materialsCalculations.js | lib\selectors\materialsSelectors.js | lib\storage\materialsStorage.js,appears_in_multiple_files | appears_with_multiple_roles
total_grouped_labour_cost,10,4,hooks | lib,declaration | object_key | snake_case_reference,calculation | selector,labour,hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js | lib\calculations\costAllocationRules.js | lib\selectors\cost-allocation\costAllocationCardSections.js,appears_in_multiple_files | appears_with_multiple_roles
unassigned_labour_cost,10,4,hooks | lib,declaration | object_key | snake_case_reference,calculation | selector,labour,hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js | lib\calculations\costAllocationRules.js | lib\selectors\cost-allocation\costAllocationCardSections.js,appears_in_multiple_files | appears_with_multiple_roles
weighted_all_productive_productivity_percent,10,4,components | lib,declaration | object_key | snake_case_reference,calculation | mentioned | output_contract_field | selector,labour,components\labour\LabourCompactWorkspaceCard.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx | lib\calculations\labourCalculations.js | lib\selectors\labour\labourOutputContractSelectors.js,appears_in_multiple_files | appears_with_multiple_roles
annual_leave_cost_annual,9,4,components | lib,declaration | snake_case_reference,calculation | mentioned | selector,cost-summary | labour,components\cost-summary\CostSummaryCard.jsx | lib\calculations\labourCalculations.js | lib\selectors\costSummarySelectors.js | lib\selectors\labour\labourOutputContractSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
bereavement_leave_cost_annual,9,4,components | lib,declaration | snake_case_reference,calculation | mentioned | selector,cost-summary | labour,components\cost-summary\CostSummaryCard.jsx | lib\calculations\labourCalculations.js | lib\selectors\costSummarySelectors.js | lib\selectors\labour\labourOutputContractSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
external_delivery,9,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,cost-allocation | recovery-outcome-legacy,components\cost-allocation\CostAllocationNoticeBanner.jsx | lib\calculations\cost-allocation\costAllocationStatus.js | lib\calculations\recoveryOutcomeCalculations.js | lib\selectors\cost-allocation\costAllocationDisplayHelpers.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
family_violence_leave_cost_annual,9,4,components | lib,declaration | snake_case_reference,calculation | mentioned | selector,cost-summary | labour,components\cost-summary\CostSummaryCard.jsx | lib\calculations\labourCalculations.js | lib\selectors\costSummarySelectors.js | lib\selectors\labour\labourOutputContractSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
get_source_charge_out_rate,9,4,hooks | lib,export_function | function | snake_case_reference,exported_function | mentioned | selector,labour,hooks\rate-builder\useRateBuilderLabourRates.js | lib\actions\rate-builder\rateBuilderLabourRateModelActions.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js | lib\selectors\rate-builder\rateBuilderLabourRateSummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles
hours,9,4,components | lib,declaration | object_key,calculation | local_variable | object_field,business-summary | cost-summary | opening-hours | rate-builder,components\business-summary\BusinessSummaryCardUtils.js | components\cost-summary\CostSummaryCard.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | lib\calculations\openingHoursCalculations.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
insurance_compliance_cost,9,4,lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
interest_annual,9,4,hooks | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,assets,hooks\useAssets.js | lib\calculations\assetCalculations.js | lib\selectors\assetSelectors.js | lib\storage\assetStorage.js,appears_in_multiple_files | appears_with_multiple_roles
labour_rate_reality_check,9,4,components | lib,quoted_object_key | snake_case_reference,calculation | mentioned | output_contract_field,labour,components\quick-start\QuickStartMainCard.jsx | lib\calculations\quickStartCalculations.js | lib\selectors\quickStartSelectors.js | lib\storage\quickStartStorage.js,appears_in_multiple_files | appears_with_multiple_roles
overhead_detail,9,4,app | components | hooks | lib,object_key | snake_case_reference,mentioned | object_field | selector,general-overheads,app\cost-summary\page.jsx | components\cost-summary\CostSummaryCard.jsx | hooks\useCostSummary.js | lib\selectors\costSummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles
product_margin_percent,9,4,components | lib,declaration | object_key | snake_case_reference,calculation | mentioned | object_field | selector,unknown,components\quick-start\QuickStartMainCard.jsx | lib\calculations\quickStartCalculations.js | lib\selectors\quickStartSelectors.js | lib\storage\quickStartStorage.js,appears_in_multiple_files | appears_with_multiple_roles
public_holiday_cost_annual,9,4,components | lib,declaration | snake_case_reference,calculation | mentioned | selector,cost-summary | labour,components\cost-summary\CostSummaryCard.jsx | lib\calculations\labourCalculations.js | lib\selectors\costSummarySelectors.js | lib\selectors\labour\labourOutputContractSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
rate_per_m2,9,4,components | lib,declaration | object_key | snake_case_reference,calculation | mentioned | object_field | selector,unknown,components\quick-start\QuickStartMainCard.jsx | lib\calculations\quickStartCalculations.js | lib\selectors\quickStartSelectors.js | lib\storage\quickStartStorage.js,appears_in_multiple_files | appears_with_multiple_roles
subcontract_labour,9,4,lib,snake_case_reference,calculation | mentioned,p-and-l,lib\calculations\profitAndLossCalculations.js | lib\p-and-l\profitAndLossClassificationRules.js | lib\storage\profitAndLossProfileStorage.js | lib\storage\profitAndLossStorage.js,appears_in_multiple_files | appears_with_multiple_roles
total_business_cost_annual,9,4,components | hooks | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | output_contract_field | selector,cost-summary,components\cost-summary\CostSummaryCard.jsx | hooks\useCostSummary.js | lib\calculations\costSummaryCalculations.js | lib\selectors\costSummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles
total_m2,9,4,components | lib,declaration | object_key | snake_case_reference,calculation | mentioned | object_field | selector,unknown,components\quick-start\QuickStartMainCard.jsx | lib\calculations\quickStartCalculations.js | lib\selectors\quickStartSelectors.js | lib\storage\quickStartStorage.js,appears_in_multiple_files | appears_with_multiple_roles
unit_recovery_ready,9,4,app | hooks | lib,object_key | snake_case_reference,readiness_field,revenue-cogs,app\revenue-cogs\page.jsx | hooks\useRevenueCogs.js | lib\calculations\revenueCogsCalculations.js | lib\selectors\revenueCogsSelectors.js,appears_in_multiple_files
update_custom_item,9,4,components | hooks | lib,function | object_key | snake_case_reference,mentioned | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | components\general-overheads\GeneralOverheadReclassificationSection.jsx | hooks\useGeneralOverheads.js | lib\selectors\general-overheads\generalOverheadCardSelector.js,appears_in_multiple_files | appears_with_multiple_roles
accounting_fees,8,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
active_amount,8,4,hooks | lib,object_key | snake_case_reference,calculation | mentioned | selector,general-overheads,hooks\useGeneralOverheads.js | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadCategorySelectors.js,appears_in_multiple_files | appears_with_multiple_roles
allocation_pool_used,8,4,components | lib,object_key | snake_case_reference,mentioned | selector,general-overheads,components\general-overheads\GeneralOverheadReclassificationGroup.jsx | components\general-overheads\GeneralOverheadSummaryCard.jsx | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadPoolSelectors.js,appears_in_multiple_files | appears_with_multiple_roles
amount_display,8,4,components | lib,object_key | snake_case_reference,mentioned | selector,general-overheads | unknown,components\common\ReclassificationBoard.jsx | components\general-overheads\GeneralOverheadSummaryCard.jsx | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadCardSelector.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
asset_detail,8,4,app | components | hooks | lib,object_key | snake_case_reference,mentioned | output_contract_field | selector,assets,app\cost-summary\page.jsx | components\cost-summary\CostSummaryCard.jsx | hooks\useCostSummary.js | lib\selectors\costSummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles
bank_fees,8,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
business_summary_not_ready,8,4,components | lib,object_key | snake_case_reference,readiness_field,business-summary,components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | components\recovery-summary\recoverySummaryWarningDetails.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files
fuel_cost_annual,8,4,lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
hired_equipment_plant,8,4,lib,snake_case_reference,calculation | mentioned,p-and-l,lib\calculations\profitAndLossCalculations.js | lib\p-and-l\profitAndLossClassificationRules.js | lib\storage\profitAndLossProfileStorage.js | lib\storage\profitAndLossStorage.js,appears_in_multiple_files | appears_with_multiple_roles
imported_review_required,8,4,components | lib,snake_case_reference | warning_id,warning_id,p-and-l | revenue-cogs,components\p-and-l\ProfitAndLossProgressPanel.jsx | lib\calculations\profitAndLossCalculations.js | lib\imports\xeroCogImporter.js | lib\selectors\profitAndLossSelectors.js,appears_in_multiple_files | appears_across_multiple_modules
