module_name,variable_name,likely_role,variable_style,occurrence_count,source_areas,source_files,first_seen_file,first_seen_line,extraction_types,notes
cost-summary,required_recovery_rate_is_zero,warning_id,snake_case,3,lib,lib\selectors\quoteEngineSelectors.js,lib\selectors\quoteEngineSelectors.js,43,declaration | warning_id,
cost-summary,required_recovery_rate_not_met,warning_id,snake_case,1,lib,lib\recovery\recoveryRiskWarningSystem.js,lib\recovery\recoveryRiskWarningSystem.js,510,snake_case_reference,
cost-summary,review_required,warning_id,snake_case,1,components,components\cost-allocation\divisions\CostAllocationDivisionCostSummary.jsx,components\cost-allocation\divisions\CostAllocationDivisionCostSummary.jsx,60,warning_id,
cost-summary,safe_required_recovery_rate,warning_id,snake_case,5,lib,lib\recovery\recoveryRiskWarningSystem.js,lib\recovery\recoveryRiskWarningSystem.js,439,declaration | warning_id,
cost-summary,safe_total_cost_burden,warning_id,snake_case,4,lib,lib\recovery\recoveryRiskWarningSystem.js,lib\recovery\recoveryRiskWarningSystem.js,435,declaration | snake_case_reference,
cost-summary,scenario_required_recovery_rate,warning_id,snake_case,12,components | hooks | lib,components\business-modelling\BusinessModellingScenarioResult.jsx | hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js,components\business-modelling\BusinessModellingScenarioResult.jsx,69,declaration | object_key | warning_id,appears_in_multiple_files
cost-summary,scenario_required_recovery_rate_zero,warning_id,snake_case,2,hooks | lib,hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js,hooks\useBusinessModelling.js,295,warning_id,appears_in_multiple_files
cost-summary,selected_model_required_recovery_rate,warning_id,snake_case,3,hooks | lib,hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js,hooks\useBusinessModelling.js,529,object_key | warning_id,appears_in_multiple_files
cost-summary,zero,warning_id,plain,1,lib,lib\calculations\costSummaryCalculations.js,lib\calculations\costSummaryCalculations.js,74,object_key,
cost-summary,Assignment,object_field,PascalCase,2,components,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,74,object_key,
cost-summary,Cost,object_field,PascalCase,2,components,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,77,object_key,
cost-summary,Hide,object_field,PascalCase,1,components,components\cost-summary\CostSummaryHelpPanel.jsx,components\cost-summary\CostSummaryHelpPanel.jsx,40,quoted_object_key,
cost-summary,Hours,object_field,PascalCase,2,components,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,76,object_key,
cost-summary,Summary,object_field,PascalCase,1,components,components\cost-summary\CostSummaryNoticeBanner.jsx,components\cost-summary\CostSummaryNoticeBanner.jsx,35,object_key,
cost-summary,active,object_field,plain,2,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,127,quoted_object_key,
cost-summary,amount,object_field,plain,22,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,267,object_key,
cost-summary,blocked,object_field,plain,1,components,components\cost-summary\CostSummaryStatusStrip.jsx,components\cost-summary\CostSummaryStatusStrip.jsx,89,object_key,
cost-summary,business_overheads,object_field,snake_case,1,hooks,hooks\useCostSummary.js,hooks\useCostSummary.js,259,object_key,
cost-summary,clickable,object_field,plain,2,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,126,quoted_object_key,
cost-summary,cost_burden_breakdown,object_field,snake_case,1,hooks,hooks\useCostSummary.js,hooks\useCostSummary.js,178,object_key,
cost-summary,currency,object_field,plain,1,components,components\cost-summary\CostSummaryStatusStrip.jsx,components\cost-summary\CostSummaryStatusStrip.jsx,8,object_key,
cost-summary,driver,object_field,plain,1,components,components\cost-summary\CostSummaryStatusStrip.jsx,components\cost-summary\CostSummaryStatusStrip.jsx,38,object_key,
cost-summary,fontSize,object_field,camelCase,2,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,553,object_key,
cost-summary,here,object_field,plain,1,components,components\cost-summary\CostSummaryNoticeBanner.jsx,components\cost-summary\CostSummaryNoticeBanner.jsx,30,object_key,
cost-summary,hours,object_field,plain,1,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,48,object_key,
cost-summary,ignored,object_field,plain,1,components,components\cost-summary\CostSummaryStatusStrip.jsx,components\cost-summary\CostSummaryStatusStrip.jsx,102,object_key,
cost-summary,it,object_field,plain,1,components,components\cost-summary\CostSummaryStatusStrip.jsx,components\cost-summary\CostSummaryStatusStrip.jsx,95,object_key,
cost-summary,items,object_field,plain,1,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,271,object_key,
cost-summary,key,object_field,plain,26,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,7,object_key,
cost-summary,marginTop,object_field,camelCase,3,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,553,object_key,
cost-summary,maximumFractionDigits,object_field,camelCase,5,components,components\cost-allocation\divisions\CostAllocationDivisionCostSummary.jsx | components\cost-summary\CostSummaryCard.jsx | components\cost-summary\CostSummaryStatusStrip.jsx,components\cost-allocation\divisions\CostAllocationDivisionCostSummary.jsx,5,object_key,appears_in_multiple_files
cost-summary,md,object_field,plain,1,components,components\cost-allocation\divisions\CostAllocationDivisionCostSummary.jsx,components\cost-allocation\divisions\CostAllocationDivisionCostSummary.jsx,38,object_key,
cost-summary,muted,object_field,plain,2,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,128,quoted_object_key,
cost-summary,note,object_field,plain,4,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,394,object_key,
cost-summary,number,object_field,plain,1,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,17,object_key,
cost-summary,onMouseEnter,object_field,camelCase,2,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,135,object_key,
cost-summary,onMouseLeave,object_field,camelCase,2,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,136,object_key,
cost-summary,overhead,object_field,plain,1,components,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,158,object_key,
cost-summary,people,object_field,plain,1,hooks,hooks\useCostSummary.js,hooks\useCostSummary.js,179,object_key,
cost-summary,rate,object_field,plain,2,components,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,79,object_key,
cost-summary,ready,object_field,plain,1,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,446,object_key,
cost-summary,scenario_total_cost_burden,object_field,snake_case,1,hooks,hooks\useBusinessModelling.js,hooks\useBusinessModelling.js,194,object_key,
cost-summary,selected_model_total_cost_burden,object_field,snake_case,1,hooks,hooks\useBusinessModelling.js,hooks\useBusinessModelling.js,525,object_key,
cost-summary,sm,object_field,plain,3,components,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx,72,object_key,
cost-summary,suffix,object_field,plain,6,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,7,object_key,
cost-summary,total,object_field,plain,1,components,components\cost-summary\CostSummaryCard.jsx,components\cost-summary\CostSummaryCard.jsx,268,object_key,
