"module_name","variable_name","classification","pass_1_status","code_files"
"business-summary","business_summary_warnings","accept_contract_field","still_code_only_after_pass_1","app\business-summary\page.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js"
"business-summary","business_type","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js"
"business-summary","cost_burden_breakdown","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js"
"business-summary","is_product_based","accept_contract_field","still_code_only_after_pass_1","app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | lib\calculations\businessSummaryCalculations.js | lib\selectors\businessSummarySelectors.js"
"business-summary","margin_pool","accept_contract_field","still_code_only_after_pass_1","components\recovery-summary\main-card\RecoveryOutcomeDetail.jsx | components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | components\recovery-summary\recoverySummaryWarningDetails.js | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useRevenueReality.js | lib\calculations\recoverySummaryCalculations.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\businessSummarySelectors.js"
"business-summary","net_position","accept_contract_field","still_code_only_after_pass_1","components\recovery-summary\recoverySummaryWarningDetails.js | hooks\useBusinessModelling.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessSummarySelectors.js"
"business-summary","operating_recovery_hours","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js"
"business-summary","ready","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js"
"business-summary","recovery_hours_used","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js"
"business-summary","total_available_hours_before_productivity","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js"
"business-summary","total_recovery_hours","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js"
"business-summary","total_revenue","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js"
"business-summary","units_sold_annual","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js"
"business-summary","weighted_productivity_percent","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js"
"business-summary","business_summary_output_contract","accept_reference_wrapper","matched_after_pass_1","hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRevenueReality.js | lib\calculations\quoteEngineCalculations.js"
"business-summary","business_summary_outputs","accept_reference_wrapper","matched_after_pass_1","hooks\useRecoverySummary.js"
"cost-allocation","recovery_hours_used","accept_contract_field","still_code_only_after_pass_1","hooks\useCostAllocation.js"
"cost-allocation","cost_allocation_contract","accept_reference_wrapper","still_code_only_after_pass_1","app\recovery-outcome\page.jsx"
"cost-summary","cost_summary_ready","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js"
"cost-summary","finance_cost_annual","accept_contract_field","still_code_only_after_pass_1","hooks\useCostSummary.js"
"cost-summary","required_recovery_rate","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | lib\calculations\quoteEngineCalculations.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\quoteEngineSelectors.js"
"cost-summary","running_cost_annual","accept_contract_field","still_code_only_after_pass_1","hooks\useCostSummary.js"
"cost-summary","total_available_hours_before_productivity","accept_contract_field","still_code_only_after_pass_1","lib\selectors\costSummarySelectors.js"
"cost-summary","total_business_cost_annual","accept_contract_field","still_code_only_after_pass_1","hooks\useCostSummary.js"
"cost-summary","total_people_cost_annual","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useRevenueReality.js | lib\audit\buildLiveAuditSnapshotExport.js | lib\calculations\quoteEngineCalculations.js | lib\calculations\recoverySummaryCalculations.js"
"cost-summary","total_recovery_hours","accept_contract_field","still_code_only_after_pass_1","lib\selectors\costSummarySelectors.js"
"cost-summary","weighted_productivity_percent","accept_contract_field","still_code_only_after_pass_1","hooks\useCostSummary.js | lib\selectors\costSummarySelectors.js"
"cost-summary","cost_summary_output_contract","accept_reference_wrapper","matched_after_pass_1","hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\quoteEngineCalculations.js"
"cost-summary","cost_summary_outputs","accept_reference_wrapper","matched_after_pass_1","hooks\useRevenueSummary.js"
"general-overheads","employee_overheads_benchmark_total","accept_contract_field","matched_after_pass_1","lib\reconciliation\reconciliationRules.js"
"general-overheads","employee_overheads_lines","accept_contract_field","matched_after_pass_1","lib\reconciliation\reconciliationRules.js"
"general-overheads","grouped_overhead_rows","accept_contract_field","still_code_only_after_pass_1","components\general-overheads\GeneralOverheadSummaryCard.jsx | lib\selectors\general-overheads\generalOverheadCardSelector.js"
"general-overheads","grouped_summary","accept_contract_field","still_code_only_after_pass_1","lib\selectors\general-overheads\generalOverheadCardSelector.js"
"general-overheads","is_hydrated","accept_contract_field","still_code_only_after_pass_1","hooks\useGeneralOverheads.js"
"general-overheads","operating_expense_lines","accept_contract_field","still_code_only_after_pass_1","hooks\useGeneralOverheads.js"
"general-overheads","overhead_rows","accept_contract_field","still_code_only_after_pass_1","components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useCostSummary.js"
"general-overheads","general_overheads_output","accept_reference_wrapper","still_code_only_after_pass_1","components\model-readiness\ModelReadinessAuditPanel.jsx"
"general-overheads","general_overheads_output_contract","accept_reference_wrapper","matched_after_pass_1","hooks\useCostSummary.js | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js"
"general-overheads","general_overheads_outputs","accept_reference_wrapper","matched_after_pass_1","hooks\useRecoverySummary.js"
"labour","active_staff","accept_contract_field","matched_after_pass_1","hooks\useCostSummary.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js | lib\calculations\cost-allocation\costAllocationValidation.js | lib\calculations\costAllocationRules.js | lib\selectors\costSummarySelectors.js"
"labour","all_labour_type_rows","accept_contract_field","still_code_only_after_pass_1","hooks\useCostAllocation.js"
"labour","expected_labour_margin_percent","accept_contract_field","still_code_only_after_pass_1","lib\selectors\quickStartSelectors.js | lib\storage\quickStartStorage.js"
"labour","is_labour_based","accept_contract_field","still_code_only_after_pass_1","app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\calculations\revenueRealityCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\recoverySummarySelectors.js"
"labour","is_labour_reality","accept_contract_field","still_code_only_after_pass_1","components\quick-start\QuickStartMainCard.jsx | lib\selectors\quickStartSelectors.js"
"labour","labour_hours","accept_contract_field","still_code_only_after_pass_1","lib\selectors\quickStartSelectors.js | lib\storage\quickStartStorage.js"
"labour","labour_rate","accept_contract_field","still_code_only_after_pass_1","components\labour\ScenarioModelCard.jsx | lib\calculations\quickStartCalculations.js | lib\selectors\labour\labourStatusSelectors.js | lib\selectors\quickStartSelectors.js | lib\storage\labourRateRealityCheckStorage.js | lib\storage\labourStorage.js | lib\storage\quickStartStorage.js"
"labour","productive_hours","accept_contract_field","still_code_only_after_pass_1","hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | lib\reconciliation\reconciliationRules.js | lib\selectors\labour\labourStatusSelectors.js"
"labour","productive_labour_type_rows","accept_contract_field","still_code_only_after_pass_1","hooks\useCostAllocation.js"
"labour","productive_rows","accept_contract_field","still_code_only_after_pass_1","lib\calculations\cost-allocation\costAllocationLabourAdapter.js"
"labour","productive_staff_type_rate_warnings","accept_contract_field","still_code_only_after_pass_1","components\labour\LabourCompactWorkspaceCard.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx | lib\calculations\labourCalculations.js | lib\selectors\labour\labourOutputContractSelectors.js"
"labour","profile_rows","accept_contract_field","still_code_only_after_pass_1","hooks\useLabour.js"
"labour","rate_builder_labour_recovery_rows","accept_contract_field","still_code_only_after_pass_1","hooks\useCostAllocation.js | lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js"
"labour","required_labour_burden_rate","accept_contract_field","still_code_only_after_pass_1","app\business-summary\page.jsx | hooks\useBusinessSummary.js"
"labour","support_labour_type_rows","accept_contract_field","still_code_only_after_pass_1","hooks\useCostAllocation.js"
"labour","support_rows","accept_contract_field","still_code_only_after_pass_1","lib\calculations\cost-allocation\costAllocationLabourAdapter.js"
"labour","total_productive_paid_hours","accept_contract_field","still_code_only_after_pass_1","components\labour\LabourCompactWorkspaceCard.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx"
"labour","total_staff_recovery_hours","accept_contract_field","still_code_only_after_pass_1","hooks\useBusinessSummary.js | lib\selectors\costSummarySelectors.js"
"labour","weighted_all_productive_productivity_percent","accept_contract_field","still_code_only_after_pass_1","components\labour\LabourCompactWorkspaceCard.jsx"
"labour","cost_allocation_output_contract","accept_reference_wrapper","matched_after_pass_1","hooks\rate-builder\useRateBuilderLabourRates.js"
"labour","labour_output","accept_reference_wrapper","matched_after_pass_1","components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\rate-builder\useRateBuilderLabourRates.js"
"labour","labour_output_contract","accept_reference_wrapper","matched_after_pass_1","hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRevenueReality.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js | lib\calculations\quoteEngineCalculations.js | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js"
"labour","labour_outputs","accept_reference_wrapper","matched_after_pass_1","hooks\useRecoverySummary.js | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js"
"model-readiness","model_readiness_status","accept_contract_field","still_code_only_after_pass_1","app\business-summary\page.jsx | app\cost-summary\page.jsx | app\dev\model-readiness\page.jsx | app\model-readiness\page.jsx | app\quote-engine\page.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | components\model-readiness\ModelReadinessStatusStrip.jsx | components\quote-engine\QuoteEngineStatusStrip.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | lib\calculations\modelReadinessCalculations.js | lib\calculations\quoteEngineCalculations.js | lib\selectors\costSummarySelectors.js | lib\selectors\quoteEngineSelectors.js"
"model-readiness","model_ready","accept_contract_field","still_code_only_after_pass_1","app\cost-summary\page.jsx | app\dev\model-readiness\page.jsx | app\model-readiness\page.jsx | app\quote-engine\page.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | components\model-readiness\ModelReadinessStatusStrip.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | lib\calculations\modelReadinessCalculations.js | lib\calculations\quoteEngineCalculations.js | lib\selectors\costSummarySelectors.js | lib\selectors\quoteEngineSelectors.js"
"model-readiness","model_trust_state","accept_contract_field","still_code_only_after_pass_1","app\business-modelling\page.jsx | app\quote-engine\page.jsx | components\business-modelling\BusinessModellingBaselineCard.jsx | components\quote-engine\QuoteEngineStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | lib\calculations\businessModellingCalculations.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\quoteEngineCalculations.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessModellingSelectors.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js | lib\selectors\recoveryOutcomeSelectors.js | lib\selectors\recoverySummarySelectors.js"
"model-readiness","quote_model_trust_state","accept_contract_field","still_code_only_after_pass_1","hooks\useQuoteEngine.js | lib\calculations\quoteEngineCalculations.js | lib\selectors\quoteEngineSelectors.js"
"module-reconciliation","acc_work_levy_annual","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\reconciliationRules.js"
"module-reconciliation","finance_cost_annual","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\reconciliationRules.js"
"module-reconciliation","is_ready","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\reconciliationRules.js"
"module-reconciliation","running_cost_annual","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\reconciliationRules.js"
"module-reconciliation","total_acc_levy_annual","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js"
"module-reconciliation","total_business_costs","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\reconciliationRules.js"
"module-reconciliation","total_other_income","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\reconciliationRules.js"
"module-reconciliation","unassigned_balance","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\reconciliationRules.js"
"opening-hours","macro_required_operating_hour_rate","accept_contract_field","still_code_only_after_pass_1","app\business-summary\page.jsx | app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | components\cost-summary\CostSummaryCard.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | lib\calculations\costSummaryCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\costSummarySelectors.js"
"opening-hours","net_annual_business_open_hours","accept_contract_field","still_code_only_after_pass_1","components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessSummary.js | lib\selectors\openingHoursSelectors.js"
"p-and-l","assets_benchmark_total","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","direct_cost_category_totals","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","employee_overheads_benchmark_total","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","excluded_asset_finance_interest_total","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","general_overheads_benchmark_total","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","gross_profit","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","hired_equipment_cost","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","materials_cost","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","model_total_costs","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","net_profit","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","pnl_interest_marked_asset_finance_total","accept_contract_field","matched_after_pass_1","lib\reconciliation\reconciliationRules.js | lib\selectors\profitAndLossSelectors.js"
"p-and-l","pnl_interest_total","accept_contract_field","matched_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","profit_and_loss_ready","accept_contract_field","still_code_only_after_pass_1","lib\reconciliation\reconciliationRules.js"
"p-and-l","subcontract_cost","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_assigned_business_costs","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_business_costs","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_cogs","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_cost_of_sales","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_direct_costs","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_model_costs","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_operating_expenses","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_pnl_costs","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_revenue","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","total_trading_income","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","unassigned_balance","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","unassigned_details","accept_contract_field","still_code_only_after_pass_1","components\p-and-l\ProfitAndLossMainCard.jsx | lib\selectors\profitAndLossSelectors.js"
"p-and-l","unreviewed_interest_count","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","unreviewed_interest_total","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","warnings","accept_contract_field","still_code_only_after_pass_1","lib\selectors\profitAndLossSelectors.js"
"p-and-l","pnl_output","accept_reference_wrapper","still_code_only_after_pass_1","components\model-readiness\ModelReadinessAuditPanel.jsx"
"p-and-l","pnl_output_contract","accept_reference_wrapper","matched_after_pass_1","hooks\useAssets.js | hooks\useGeneralOverheads.js | hooks\useRevenueCogs.js | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js"
"rate-builder","group_rows","accept_contract_field","still_code_only_after_pass_1","components\rate-builder\RateBuilderLineCalculator.jsx"
"rate-builder","operational_group_cost_rows","accept_contract_field","still_code_only_after_pass_1","components\rate-builder\RateBuilderLineCalculator.jsx"
"recovery-summary","recovery_summary_contract","accept_reference_wrapper","still_code_only_after_pass_1","app\recovery-outcome\page.jsx"
"revenue-cogs","business_type","accept_contract_field","still_code_only_after_pass_1","hooks\useRevenueCogs.js"
"revenue-cogs","cost_of_sales_lines","accept_contract_field","still_code_only_after_pass_1","hooks\useRevenueCogs.js"
"revenue-cogs","direct_cost_categories","accept_contract_field","still_code_only_after_pass_1","hooks\useRevenueCogs.js"
"revenue-cogs","direct_cost_category_totals","accept_contract_field","matched_after_pass_1","components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | hooks\useRevenueCogs.js"
"revenue-cogs","resolved_commercial_driver_mode","accept_contract_field","still_code_only_after_pass_1","hooks\useRevenueCogs.js | lib\calculations\revenueCogsCalculations.js"
"revenue-cogs","revenue_cogs_output_contract","accept_reference_wrapper","still_code_only_after_pass_1","hooks\useBusinessSummary.js | hooks\useRevenueReality.js"
"revenue-cogs","revenue_cogs_outputs","accept_reference_wrapper","still_code_only_after_pass_1","hooks\useRecoverySummary.js"
"revenue-reality","business_type","accept_contract_field","still_code_only_after_pass_1","hooks\useRevenueReality.js | lib\calculations\revenueRealityCalculations.js"
"revenue-reality","is_product_based","accept_contract_field","still_code_only_after_pass_1","hooks\useRevenueReality.js | lib\calculations\revenueRealityCalculations.js"
"revenue-reality","total_revenue","accept_contract_field","still_code_only_after_pass_1","components\revenue-reality\RevenueRealityStatusStrip.jsx | hooks\useRevenueReality.js | lib\calculations\revenueRealityCalculations.js"
